Target,Prediction,Tissue,Genotype,Treatment
ERX1946687,14.297114,rosette leaf,--,Cold4C 3h*
ERX1946688,16.109215,rosette leaf,--,Cold4C 6h*
ERX1946689,21.875061,rosette leaf,--,Cold4C 9h*
ERX1946691,22.030422,rosette leaf,--,Cold4C 15h*
ERX1946693,21.74694,rosette leaf,--,Cold4C 21h*
ERX1946694,24.073967,rosette leaf,--,Cold4C 24h*
ERX1946679,12.970308,rosette leaf,--,--
ERX1946697,16.29403,rosette leaf,--,Cold4C 78h*
ERX1946698,16.205524,rosette leaf,--,Cold4C 81h*
ERX1946699,16.322504,rosette leaf,--,Cold4C 84h*
ERX1946701,13.235449,rosette leaf,--,Cold4C 90h*
ERX1946702,14.743623,rosette leaf,--,Cold4C 93h*
ERX1946703,15.925021,rosette leaf,--,Cold4C 96h*
ERX1946680,12.211758,rosette leaf,--,--
ERX1946681,13.23061,rosette leaf,--,--
ERX1946682,11.565067,rosette leaf,--,--
ERX1946683,12.429462,rosette leaf,--,--
ERX1946684,19.107664,rosette leaf,--,--
ERX1946685,14.199973,rosette leaf,--,--
ERX1946686,12.9419365,rosette leaf,--,Mock
ERX3311952,12.265123,flower buds,wild type,--
ERX3311994,16.168707,seedling,wild type,--
ERX3311977,17.932158,seedling,knl2 mutant,--
ERX3430782,12.016331,leaf,wild type,--
ERX3430786,14.228056,leaf,mail1-1,--
ERX3430784,13.363,leaf,main-2,--
ERX3466595,19.07589,hypocotyl,--,--
ERX3556886,0.0,leaf,wild type,A2
ERX3557010,0.0,leaf,wild type,A2
ERX3557138,0.2209913,leaf,wild type,A2
ERX3556878,0.011307087,leaf,wild type,A4
ERX3557002,0.0,leaf,wild type,A4
ERX3557130,0.0,leaf,wild type,A4
ERX3556882,0.05459163,leaf,wild type,KV
ERX3557006,0.2439181,leaf,wild type,KV
ERX3557134,0.0,leaf,wild type,KV
ERX3557254,0.0,leaf,wild type,untreated
ERX3557258,0.0,leaf,wild type,untreated
ERX3557262,0.0,leaf,wild type,untreated
ERX3556874,0.0,leaf,wild type,mock
ERX3556998,0.0,leaf,wild type,mock
ERX3557126,0.0,leaf,wild type,mock
ERX3556902,0.1482658,leaf,eds1-2*,A2
ERX3557026,0.0,leaf,eds1-2*,A2
ERX3557170,0.0,leaf,eds1-2*,A2
ERX3556894,0.16709273,leaf,eds1-2*,A4
ERX3557018,0.0,leaf,eds1-2*,A4
ERX3557162,0.0,leaf,eds1-2*,A4
ERX3556898,0.0,leaf,eds1-2*,KV
ERX3557022,0.0,leaf,eds1-2*,KV
ERX3557166,0.0,leaf,eds1-2*,KV
ERX3556890,0.0,leaf,eds1-2*,mock
ERX3557014,0.0,leaf,eds1-2*,mock
ERX3557158,0.0,leaf,eds1-2*,mock
ERX3556946,0.0,leaf,myc2 myc3 myc4*,A2
ERX3557074,0.3845027,leaf,myc2 myc3 myc4*,A2
ERX3557202,0.0,leaf,myc2 myc3 myc4*,A2
ERX3556938,0.35214218,leaf,myc2 myc3 myc4*,A4
ERX3557066,0.0,leaf,myc2 myc3 myc4*,A4
ERX3557194,0.0,leaf,myc2 myc3 myc4*,A4
ERX3556942,0.5011983,leaf,myc2 myc3 myc4*,KV
ERX3557070,0.0,leaf,myc2 myc3 myc4*,KV
ERX3557198,0.0,leaf,myc2 myc3 myc4*,KV
ERX3556934,0.0,leaf,myc2 myc3 myc4*,mock
ERX3557062,0.0,leaf,myc2 myc3 myc4*,mock
ERX3557190,0.0,leaf,myc2 myc3 myc4*,mock
ERX3556978,0.0,leaf,pad4 ein2 dde2 sid2*,A2
ERX3557106,0.0,leaf,pad4 ein2 dde2 sid2*,A2
ERX3557234,0.0,leaf,pad4 ein2 dde2 sid2*,A2
ERX3556970,0.0,leaf,pad4 ein2 dde2 sid2*,A4
ERX3557098,0.0,leaf,pad4 ein2 dde2 sid2*,A4
ERX3557226,0.0,leaf,pad4 ein2 dde2 sid2*,A4
ERX3556974,0.0,leaf,pad4 ein2 dde2 sid2*,KV
ERX3557102,0.0,leaf,pad4 ein2 dde2 sid2*,KV
ERX3557230,0.0,leaf,pad4 ein2 dde2 sid2*,KV
ERX3556966,0.0,leaf,pad4 ein2 dde2 sid2*,mock
ERX3557094,0.0,leaf,pad4 ein2 dde2 sid2*,mock
ERX3557222,0.0,leaf,pad4 ein2 dde2 sid2*,mock
