Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
DRP006224/DRR235283,0.7179969,H3K4me1,histone methylation,Whole plant,WT,14.0,
DRP006224/DRR235284,0.6141943,H3K4me2,histone methylation,Whole plant,WT,14.0,
DRP006224/DRR235286,0.7697873,H3K4me1,histone methylation,Whole plant,fld,14.0,
DRP006224/DRR235287,0.5453156,H3K4me2,histone methylation,Whole plant,fld-4,14.0,
DRP006224/DRR235289,0.67843366,H3K4me1,histone methylation,Whole plant,sdg26,14.0,
DRP006224/DRR235290,0.5238903,H3K4me2,histone methylation,Whole plant,sdg26,14.0,
DRP006224/DRR235292,0.6351918,H3K4me1,histone methylation,Whole plant,ld,14.0,
DRP006224/DRR235293,0.5497453,H3K4me2,histone methylation,Whole plant,ld,14.0,
DRP003416/DRX066755,0.42412728,H3K4me1,histone methylation,Whole plant,WT,12.0,
DRP003416/DRX066756,1.9301975,H3K4me2,histone methylation,Whole plant,WT,12.0,
DRP003416/DRX066757,7.8270454,H3K4me3,histone methylation,Whole plant,WT,12.0,
DRP003416/DRX066758,0.28210816,H3K9me2,histone methylation,Whole plant,WT,12.0,
DRP003416/DRX066760,0.5433546,H3K4me1,histone methylation,Whole plant,ibm1,12.0,
DRP003416/DRX066761,1.7831535,H3K4me2,histone methylation,Whole plant,ibm1,12.0,
DRP003416/DRX066762,7.5679793,H3K4me3,histone methylation,Whole plant,ibm1,12.0,
DRP003416/DRX066763,0.41491777,H3K9me2,histone methylation,Whole plant,ibm1,12.0,
DRP003416/DRX066765,0.56304705,H3K4me1,histone methylation,Whole plant,"ibm1, ldl2",12.0,
DRP003416/DRX066766,1.8047177,H3K4me2,histone methylation,Whole plant,"ibm1, ldl2",12.0,
DRP003416/DRX066767,7.171677,H3K4me3,histone methylation,Whole plant,"ibm1, ldl2",12.0,
DRP003416/DRX066768,0.4677395,H3K9me2,histone methylation,Whole plant,"ibm1, ldl2",12.0,
DRP003416/DRX066785,0.4719643,H3K4me1,histone methylation,Whole plant,WT,12.0,
DRP003416/DRX066786,2.0220141,H3K4me2,histone methylation,Whole plant,WT,12.0,
DRP003416/DRX066787,8.067618,H3K4me3,histone methylation,Whole plant,WT,12.0,
DRP003416/DRX066788,0.25709286,H3K9me2,histone methylation,Whole plant,WT,12.0,
DRP003416/DRX066790,0.45732313,H3K4me1,histone methylation,Whole plant,ldl2,12.0,
