Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
DRP000207/DRX000321,0.28823745,OSH1,Transcription factor,Panicle,WT,21.0,26.0
DRP001345/DRX013534,0.53892523,OsTGAP1,Transcription factor,Whole plant,WT,,
DRP001345/DRX013536,0.3873623,OsTGAP1,Transcription factor,Whole plant,WT,,
DRP007210/DRX167898,0.7123038,OsTGAP1,Transcription factor,Root,WT,,
DRP007210/DRX167899,0.4770918,OsTGAP1,Transcription factor,Root,WT,,
DRP007210/DRX167904,1.0677524,OsMYC2,Transcription factor,Shoot,WT,,
DRP007210/DRX167905,0.70006657,OsMYC2,Transcription factor,Shoot,WT,,
SRP297261/DRX195228,0.82164717,H3K27me3,histone methylation,Endosperm,WT,80.0,
ERP108685/ERR2575724,0.8184559,bZIP73,Transcription factor,Leaf,,14.0,28.0
ERP106693/ERX2337661,0.5074804,OsIDS1,Transcription factor,Whole plant,,,27.0
SRP229367/SRR10423448,0.854636,ONAC127,Transcription factor,Caryopsis,,81.0,30.0
SRP229367/SRR10423451,0.8535335,ONAC129,Transcription factor,Caryopsis,,81.0,30.0
SRP229367/SRR10423454,0.90159935,ONAC127,Transcription factor,Caryopsis,,81.0,30.0
SRP229367/SRR10423457,0.8894682,ONAC129,Transcription factor,Caryopsis,,81.0,30.0
SRP145259/SRR7142413,0.8504307,OsGRF4,Transcription factor,Whole plant,,14.0,
SRP001787/SRX016122,0.25184223,H34me3,histone methylation,Shoot,,28.0,28.0
SRP001787/SRX016123,0.20239247,H34me3,histone methylation,Shoot,,28.0,28.0
SRP001787/SRX016124,0.12917489,H34me3,histone methylation,Shoot,,28.0,28.0
SRP001787/SRX016125,0.19351716,H34me3,histone methylation,Shoot,,28.0,28.0
SRP001787/SRX016126,0.44676763,H3K9ac,histone acetylation,Shoot,,28.0,28.0
SRP001787/SRX016127,0.3363042,H3K9ac,histone acetylation,Shoot,,28.0,28.0
SRP001787/SRX016128,0.2868881,H3K9ac,histone acetylation,Shoot,,28.0,28.0
SRP001787/SRX016129,0.38875866,H3K9ac,histone acetylation,Shoot,,28.0,28.0
SRP001787/SRX016130,0.3345426,H3K27me3,histone methylation,Shoot,,28.0,28.0
SRP001787/SRX016131,0.2790446,H3K27me3,histone methylation,Shoot,,28.0,28.0
SRP001787/SRX016132,0.22019082,H3K27me3,histone methylation,Shoot,,28.0,28.0
SRP001787/SRX016133,0.2400631,H3K27me3,histone methylation,Shoot,,28.0,28.0
SRP005296/SRX038423,0.5602467,open chromatin,open chromatin,Whole plant,,14.0,28.0
SRP005296/SRX038424,0.5099225,open chromatin,open chromatin,Callus,,21.0,28.0
SRP005403/SRX038891,1.8775076,H3K4me2,histone methylation,Whole plant,,14.0,28.0
SRP005403/SRX038892,4.8497815,H3K4me3,histone methylation,Whole plant,,14.0,28.0
SRP005403/SRX038893,0.5651593,H4K12ac,histone acetylation,Whole plant,,14.0,28.0
SRP005607/SRX040548,0.5891912,H3K27me3,histone methylation,Endosperm,,82.0,
SRP007423/SRX082182,0.6420196,H3K4me3,histone methylation,Whole plant,Hwayong,11.0,
SRP007423/SRX082183,0.7198319,H3K4me3,histone methylation,Whole plant,CHD1,11.0,
SRP007423/SRX082184,0.56865394,H3K27me3,histone methylation,Whole plant,Hwayong,11.0,
SRP007423/SRX082185,0.5678721,H3K27me3,histone methylation,Whole plant,CHD1,11.0,
SRP057432/SRX1001170,0.6459424,OsABF1,Transcription factor,Leaf,,28.0,
SRP057712/SRX1011367,0.7569228,H3K4me3,histone methylation,Meristem,,,
SRP057712/SRX1011368,0.7126667,H3K27me3,histone methylation,Meristem,,,
SRP057712/SRX1011369,0.8720565,H3K4me3,histone methylation,Meristem,,25.0,
SRP057712/SRX1011370,0.78332454,H3K27me3,histone methylation,Meristem,,25.0,
SRP057712/SRX1011371,0.9490495,H3K4me3,histone methylation,Meristem,,25.0,
SRP057712/SRX1011372,0.5456869,H3K27me3,histone methylation,Meristem,,25.0,
SRP057712/SRX1011373,0.6643338,H3K4me3,histone methylation,Meristem,,25.0,
SRP057712/SRX1011374,0.70910364,H3K27me3,histone methylation,Meristem,,25.0,
SRP308960/SRX10215317,0.09945533,open chromatin,open chromatin,Root,,,
SRP308960/SRX10215319,0.22490531,open chromatin,open chromatin,Root,,,
SRP058921/SRX1044779,0.21196935,H3K23ac,histone acetylation,Leaf,,14.0,28.0
SRP058921/SRX1044780,0.8771385,H4K16ac,histone acetylation,Leaf,,14.0,28.0
